_id,Codice_IPA,Denominazione_ente,Tipologia,homepage_status,framework_primario,framework_secondari,cms_primario,ui_frameworks,confidence,js_count,css_count,evidenze_count
3017,c_b560,Comune di Camporosso,Pubbliche Amministrazioni,ok,WordPress,"React,jQuery",WordPress,Bootstrap Italia,high,25,5,31
3018,c_b561,Comune di Camporotondo Etneo,Pubbliche Amministrazioni,ok,WordPress,"React,jQuery",WordPress,Bootstrap Italia,high,25,6,34
3019,c_b562,Comune di Camporotondo di Fiastrone,Pubbliche Amministrazioni,ok,WordPress,"React,jQuery",WordPress,Bootstrap Italia,high,27,7,34
3020,c_b563,Comune di Camposampiero,Pubbliche Amministrazioni,ok,WordPress,,WordPress,Bootstrap Italia,high,11,1,7
3021,c_b564,Comune di Campo San Martino,Pubbliche Amministrazioni,ok,WordPress,,WordPress,Bootstrap Italia,high,11,1,7
3022,c_b565,Comune di Camposano,Pubbliche Amministrazioni,ok,,,,Bootstrap Italia,low,6,5,2
3023,c_b566,Comune di Camposanto,Pubbliche Amministrazioni,ok,,,,,low,3,2,0
3024,c_b567,COMUNE DI CAMPOSPINOSO ALBAREDO,Pubbliche Amministrazioni,ok,ASP.NET,,,Bootstrap Italia,medium,3,4,4
3025,c_b569,Comune di Campotosto,Pubbliche Amministrazioni,ok,WordPress,,WordPress,Elementor,high,37,56,8
3026,c_b570,Comune di Campo Tures,Pubbliche Amministrazioni,ok,ASP.NET,,,,high,20,9,2
3027,c_b572,Comune di Camugnano,Pubbliche Amministrazioni,ok,,,,,low,8,0,0
3028,c_b573,Comune di Canale,Pubbliche Amministrazioni,ok,Laravel,,,Bootstrap Italia,medium,6,3,5
3029,c_b574,Comune di Canale D'Agordo,Pubbliche Amministrazioni,ok,,,,Bootstrap Italia,low,10,0,1
3030,c_b576,Comune di Canale Monterano,Pubbliche Amministrazioni,ok,,,,Bootstrap Italia,low,6,5,2
3031,c_b577,Comune di Canal San Bovo,Pubbliche Amministrazioni,ok,,,,Bootstrap Italia,low,5,3,1
3032,c_b578,Comune di Canaro,Pubbliche Amministrazioni,ok,ASP.NET,,,Bootstrap Italia,high,3,6,6
3033,c_b579,Comune di Canazei,Pubbliche Amministrazioni,ok,,,,Bootstrap Italia,low,5,3,1
3034,c_b580,Comune di Cancellara,Pubbliche Amministrazioni,ok,,,,,low,0,0,0
3035,c_b581,Comune di Cancello Ed Arnone,Pubbliche Amministrazioni,ok,WordPress,jQuery,WordPress,Bootstrap Italia,high,34,20,10
3036,c_b582,Comune di Canda,Pubbliche Amministrazioni,ok,,,,Bootstrap Italia,low,10,0,1
3037,c_b584,Comune di Candela,Pubbliche Amministrazioni,error,,,,,low,0,0,0
3038,c_b586,Comune di Candelo,Pubbliche Amministrazioni,error,,,,,low,0,0,0
3039,c_b587,Comune di Candia Lomellina,Pubbliche Amministrazioni,ok,ASP.NET,,,Bootstrap,medium,5,4,3
3040,c_b588,Comune di Candia Canavese,Pubbliche Amministrazioni,ok,ASP.NET,,,Bootstrap Italia,medium,3,4,4
3041,c_b589,Comune di Candiana,Pubbliche Amministrazioni,ok,WordPress,Joomla,WordPress,Bootstrap Italia,high,11,1,8
3042,c_b590,Comune di Candida,Pubbliche Amministrazioni,ok,WordPress,jQuery,WordPress,Bootstrap Italia,high,13,8,10
3043,c_b591,Comune di Candidoni,Pubbliche Amministrazioni,ok,WordPress,jQuery,WordPress,Bootstrap Italia,high,13,7,10
3044,c_b592,Comune di Candiolo,Pubbliche Amministrazioni,ok,WordPress,,WordPress,Bootstrap Italia,high,15,7,9
3045,c_b593,Comune di Canegrate,Pubbliche Amministrazioni,error,,,,,low,0,0,0
3046,c_b594,Comune di Canelli,Pubbliche Amministrazioni,ok,Laravel,,,Bootstrap Italia,medium,5,3,5
